39,7.7,1.4,1.2,1.2,1.1,1.1,1,1.1,1.2,1.3,1.4,1.4,1.4,1.4,1.5,1.5,1.3,1.3,0.9,1,0.9,0.9,0.9,0.9,1.1,1.4,1.9,2.6,2.6,2.6,3,2.9,2.4,2.2,2.4,2.4,2,1.9,1.8,1.8,1.7,1.7,1.6,1.6,1.6,1.6,1.6,1.5
40,3.4,,9.5,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,4.9,6,5.3,6.1,5.2,,5.1,4.8,4.9,5.1,2.8,4.4
41,4.4,3.2,3.3,3.3,3.3,3.5,3.5,3.4,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.3,3.2,3.2,3.3,3.2,3.2,3.3,3.3,3.4,3.4,3.2,3.3,3.2,3.2,3,3.1,3.1,3.1,3,3.1,3,3,3.1,3.1,3.2,3.5,3.3,3.4,3.3,3.4,3.3,3.1
42,4.8,,4.9,5.1,4.9,5.4,5.8,,4.7,,4.3,4,,4.2,3.6,4,5.4,5.6,5.8,,5.5,5.3,6.4,5.7,6.7,4.4,4,4.7,4.1,4.3,4.7,5.4,5.7,5.7,5.9,5.5,6.4,5.4,4.7,5.1,6.4,7.3,6.7,6.7,6.2,6.7,6.2,6.5
43,3.3,4.8,,,4.4,3.8,,,4,,,3.1,4.5,,3.4,3,2.3,4.2,3.7,3.3,2.9,2.8,3,3.1,2.9,4.6,5.2,,,4.1,3.5,2.3,2.7,2.4,2,3,2.4,,2.2,,3.6,5.3,5.8,,2.9,3.5,,
44,2.9,4,4.2,4.1,4,3.9,4,4.1,4.7,4.3,4.9,4.9,4.7,4.6,,4.4,4.2,,4.4,4.1,4.1,4,4.5,4.9,4.7,,4.9,4.7,5.1,4.6,4.5,,3.7,3.5,3.6,3.7,,3.6,3.8,4.7,5.1,5.3,,4.5,4.4,4.3,4,3.9
45,5.6,2.8,2.9,3,3,,,3.5,3.3,3.5,3.5,3.4,3.1,3.4,3.1,3.2,3,2.9,3.1,3.3,2.9,3,3.4,3.9,4.1,5.6,5.6,5.6,5.2,4.8,4.5,3.6,,,,,,,3,,,3.6,3.5,3.3,3.5,2.2,3.4,3.4
46,6.8,5.4,4.1,3.1,3,2.7,2.8,4.8,3.4,2.7,6.2,,2.9,3.1,5.5,6.7,,4.8,,5.1,5.1,,4.6,3.3,2.3,3.2,2.7,2.6,4.9,4.3,4.6,4.6,4.6,4.6,4.8,4.4,4.4,3.7,3.7,3.5,,,3.4,4.5,5.4,3.4,3.9,4.1
47,2.5,7,6.5,6.9,8.4,9.8,9,9.2,,10.6,8.8,9,9.3,9,13.3,9.3,6.6,6.9,7,10.9,11.5,11.2,12,12.8,14.2,11.8,11.9,13,6.2,,,5.5,5,4.8,5.2,5,5,4.8,,5,7.3,6.1,6,5.8,,6.3,8,7.8
48,5.9,2.5,2.5,2.2,2,2,1.5,2.1,2.4,3,3,2.2,2,2.3,2,1.7,2,1.8,1.8,2.2,2.2,2.4,,,,1.5,3.3,3.1,2.7,2.9,1.4,1.9,,,3,2.6,2.2,2.8,3.9,2.1,2.7,2.7,2.9,,2.7,2.9,2.9,2.5
49,,,5.5,5.4,6,6.1,5.9,,7.5,,5.3,5.3,5.4,4.8,4.6,4.5,4.8,5.4,5.1,4.6,4.6,4.1,4.4,4.3,4.5,4.3,4.1,4.2,3.9,3.9,3.8,3.7,3.8,3.6,3.4,3.5,3.2,3.1,3.5,3.5,3.5,4.3,3.5,5.3,7.2,7.8,7.9,7.6
50,5.9,,6.3,7.3,7.4,7.5,8.2,,7.8,6.7,7.7,6.6,7,8.7,6.4,7.9,9.8,11.1,11.4,7.1,7.3,8.4,8.3,8.4,9.5,7.5,8.1,7.8,7.1,6.1,5.9,5.9,6,7.9,8.5,10.2,9.7,9,7.6,7.9,4.9,4.6,4.6,4.4,4.6,4.8,4.8,4.7
