0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27,28,29,41,42,44,45,46
58,0.15,0.43,,,,0.52,,0.23,,0.13,0.15,0.33,0.12,,0.12,0.12,0.25,0.55,0.17,0.23,0.13,0.12,0.14,,0.14,0.32,0.44,1.57,0.74,0.47,0.9,0.61,0.11
59,3.63,,,,2.45,1.47,,1.6,4.03,2.81,,,,2.4,2.9,2.8,1.56,0.46,1.29,1.22,0.55,0.24,2.05,0.74,0.36,,1.87,1.89,1.88,3.01,1.64,2.59,2
60,0.16,0.14,0.25,0.53,0.2,,0.2,0.21,0.22,0.23,0.23,0.23,0.22,0.29,0.35,0.28,0.28,0.3,0.29,0.27,0.28,0.34,0.3,0.29,,0.35,,,0.27,0.23,0.17,0.14,0.13
61,0.54,,,,,0.79,,,0.26,0.35,0.37,0.36,0.38,0.48,0.54,0.4,0.42,0.3,0.29,0.27,0.62,0.19,0.09,0.04,0.15,0.15,0.59,1.11,0.1,0.11,0.57,0.21,0.15
62,0.36,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,0.33,,,,,0.45,,,0.37,0.37,0.31,0.31,0.32,,0.34,0.34,,0.19,,,0.1,0.11,0.14,,0.87,0.21,0.18,1.62,0.15,,,0.14,
64,0.11,0.35,0.8,0.65,,0.23,0.08,,0.22,,,,,,,,,,,,,,,0.04,,,,,,0.06,,,
65,0.54,,,,,0.37,,,0.57,0.28,0.29,0.34,0.32,0.14,0.15,,0.14,0.13,0.12,0.12,0.09,0.31,0.15,0.1,0.16,0.17,0.29,0.66,,0.75,0.19,,
66,0.22,0.22,0.25,0.23,0.3,0.64,0.52,0.18,,0.14,0.18,0.14,0.14,0.12,,0.12,0.15,0.22,0.1,0.12,0.09,,0.24,0.1,0.16,0.09,0.24,0.53,0.19,0.19,0.12,0.15,0.19
67,,,0.61,0.51,,0.62,0.45,0.43,0.27,0.24,0.28,0.4,0.43,0.41,0.32,0.29,0.22,0.25,0.19,0.24,,0.12,,0.22,0.25,0.22,1.2,0.72,0.11,0.16,0.29,0.36,0.4
68,0.33,0.31,,0.2,0.19,0.16,0.16,0.17,,,0.29,0.31,0.17,,0.23,0.2,,0.17,,,,,,0.07,0.12,0.13,0.13,0.08,0.17,0.16,,0.17,
69,0.2,,,,0.18,0.14,0.16,0.09,,0.08,,,,,,,,,,,0.12,0.22,0.14,,,,,,,,,,
70,0.57,,,,,0.56,,,0.58,0.61,0.63,0.53,0.51,0.5,0.44,0.37,0.31,0.25,0.24,0.32,0.4,0.46,0.55,0.27,0.27,0.17,0.21,0.13,0.29,,0.33,0.36,0.4
71,0.48,0.38,0.32,0.25,0.46,0.41,0.42,0.56,0.8,0.53,0.7,0.45,0.54,0.3,0.15,0.19,0.16,0.13,0.12,0.51,0.13,0.12,0.16,0.09,0.11,0.07,0.08,0.09,0.2,0.29,0.15,0.17,0.2
72,0.42,0.48,0.46,0.43,0.41,0.41,0.38,0.37,,,,,,,0.23,,,,,,,,,0.27,,,0.23,0.21,,,,,
73,0.35,,,,,0.51,,,0.43,0.29,0.26,0.24,0.25,,,0.25,,0.22,,,0.27,0.28,0.25,,0.3,0.24,,,0.19,0.19,,0.17,0.15
74,0.15,,,,,0.16,,,,,0.17,0.21,0.24,,0.19,,,0.15,,,0.08,,0.09,0.07,,0.16,0.15,0.16,,0.14,,,
75,0.23,,,,,0.32,,,0.32,0.3,,,,0.27,,,0.19,,0.17,0.23,0.23,0.22,0.15,0.14,,,,,,0.27,0.16,,
76,,,,,,2.65,,,,,3.37,3.8,3.37,,2.36,2.19,,0.95,,,0.43,,0.19,0.21,0.19,0.28,,,0.2,,,0.51,0.68
77,,,,,,12.3,,,5.63,,,,,9.13,,,2.18,,4.46,3.29,,,,,,,,,,,2.7,,
78,0.48,,,0.69,,0.35,0.26,,0.34,0.28,0.2,,0.29,0.16,0.14,0.23,0.13,0.11,,0.1,0.21,0.34,0.29,,0.12,0.11,0.12,0.12,0.24,0.31,0.17,0.22,0.17
79,,,,,,1.52,,,,,,,,,0.65,,,,,,,,,,,,,,,,,,
80,0.22,0.23,,,,0.09,,0.08,0.1,0.1,0.04,0.11,0.09,0.08,0.09,0.08,0.13,0.05,0.09,0.13,0.09,0.24,0.05,,0.1,0.08,0.09,0.11,0.08,0.09,0.07,0.08,0.08
81,0.29,,0.31,,0.25,,,0.23,0.22,0.2,0.19,0.23,0.2,0.17,0.1,0.14,0.17,0.25,0.2,0.09,0.13,0.14,0.12,0.14,0.18,0.18,,,0.24,0.26,0.29,0.29,0.34
82,0.3,0.26,,0.18,0.22,0.52,0.23,0.24,0.29,,0.29,0.26,0.15,,0.15,0.11,,0.09,,,,,,0.1,0.08,0.1,,,0.24,0.24,,0.26,
83,0.24,,,,,0.19,,,0.33,0.29,0.26,0.3,0.49,0.51,0.41,0.32,0.42,0.25,0.17,0.28,0.25,0.24,,,0.2,0.58,0.46,0.62,0.17,0.19,,0.19,0.19
84,0.13,,,,,0.21,,,,0.13,,,,0.07,0.08,0.13,0.09,0.06,0.1,0.11,0.1,0.11,0.15,0.17,0.18,,0.21,0.22,0.37,0.32,0.26,0.32,0.32
85,0.17,,0.18,,,0.17,,,0.17,0.18,0.21,0.2,0.27,0.21,0.15,0.19,0.18,0.17,0.15,0.19,0.21,0.28,0.18,0.17,,0.22,,,0.22,0.2,0.28,0.32,0.24
86,0.27,0.34,,0.28,,0.29,0.22,,0.23,0.16,0.16,0.12,0.16,0.11,0.14,0.22,0.11,0.14,0.17,0.08,0.1,0.09,0.1,0.19,0.09,0.05,0.05,0.09,0.25,,0.27,0.3,0.28
87,0.35,,0.21,,,0.18,,,0.18,0.19,,,,0.06,,,0.16,,0.15,0.17,0.13,0.13,0.14,,,,,,,,0.2,,
88,0.45,0.29,0.3,0.35,0.44,0.25,0.44,0.57,,,0.78,0.83,0.63,,0.32,0.32,,0.4,,,,,,,0.21,0.69,0.22,0.17,0.23,0.27,,0.24,
89,,,,0.48,,0.19,0.2,0.21,0.41,0.28,,,,,,,,,,,0.06,0.16,0.14,0.12,,,,,,0.16,,,
90,0.2,0.17,,0.22,0.21,0.21,0.21,0.24,0.18,,0.19,0.24,0.2,,0.1,,,0.13,,,,,,0.13,0.08,0.08,0.24,0.13,,0.08,,,
91,0.04,0.05,0.05,,0.05,,0.06,0.07,0.12,0.1,0.15,0.19,0.16,0.07,,0.16,0.14,0.09,0.13,0.06,0.26,0.27,0.24,0.65,0.39,0.14,0.04,0.06,0.06,0.04,0.05,0.07,0.04
92,0.26,0.26,0.36,,0.19,0.22,0.25,0.23,,0.22,0.14,0.19,0.27,0.26,0.27,0.32,0.22,0.13,0.18,0.22,0.21,,0.28,0.25,0.13,0.17,0.13,0.16,0.11,0.06,0.08,0.09,0.06
93,0.1,,,,0.15,0.12,,0.13,0.15,0.12,0.1,0.1,0.1,0.1,0.1,0.11,0.12,0.13,0.13,0.16,,0.11,,0.09,0.1,0.1,0.08,0.06,0.06,,0.09,0.12,
94,0.06,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,0.32,0.5,1.06,0.43,0.15,0.28,0.16,0.17,,0.15,0.21,0.26,0.23,,0.19,0.21,,0.17,,,0.07,0.13,0.06,0.07,0.07,0.07,0.05,0.13,0.09,0.13,,0.14,0.16
96,0.51,0.53,0.13,0.41,0.21,0.22,0.24,0.23,0.57,0.66,0.63,0.53,0.44,0.47,0.31,0.36,0.43,0.46,0.47,0.49,0.6,0.62,0.65,0.58,0.42,0.25,0.37,0.31,0.43,,0.41,0.4,0.49
